Source,Lead_Id,Disposition,DispositionDate,CreditResponse,MonitoringRate,AdditionalEquipment
PROTECT AMERICA,153750,KILL LEAD,1/7/14 3:04 PM,,0,0
PROTECTAMERICA,MANUAL,SOLD,NULL,APPROVED 0,34.99,0
GOOGLEPPC,INBOUND,PNS,1/7/14 5:16 PM,,0,0
GOOGLEPPC,153771,SOLD,1/7/14 7:02 PM,APPROVED 0,47.99,0
GOOGLEPPC,INBOUND VOICEMAIL,,NULL,,0,0
PROTECT AMERICA,153865,,NULL,,0,0
PROTECT AMERICA,INBOUND,KILL LEAD,1/8/14 11:49 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/8/14 1:14 PM,,0,0
GOOGLEPPC,INBOUND CALLBACK,PNS,1/8/14 1:11 PM,,0,0
GOOGLEPPC,153894,,NULL,,0,0
GOOGLE CALL METRICS,INBOUND,SOLD,1/8/14 4:44 PM,APPROVED 0,46.99,79.05
GOOGLEPPC,INBOUND,PNS,1/8/14 4:36 PM,,0,0
PROTECT AMERICA,INBOUND CALLBACK,UNDER CONTRACT,1/14/14 1:06 PM,,0,0
GOOGLE CALL METRICS,INBOUND,PNS,1/8/14 5:40 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/8/14 6:26 PM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,SOLD,1/8/14 6:56 PM,APPROVED 0,36.99,0
PROTECT AMERICA,153948,DNC,NULL,,0,0
HOMESITE,MANUAL,PNS,1/9/14 11:43 AM,,0,0
PROTECT AMERICA,INBOUND,PNS,1/9/14 10:38 AM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/9/14 10:35 AM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/9/14 11:05 AM,,0,0
GOOGLEPPC,INBOUND CALLBACK,NOT INTERESTED,1/12/14 11:36 AM,,0,0
GOOGLEPPC,154095,ANSWERING MACHINE,1/10/14 5:26 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/9/14 3:34 PM,APPROVED 0,29.99,0
GOOGLEPPC,INBOUND,SOLD,1/9/14 5:02 PM,APPROVED 0,51.98,0
GOOGLEPPC,INBOUND CALLBACK,ANSWERING MACHINE,1/14/14 8:41 AM,,0,0
BINGPPC,INBOUND,PNS,1/9/14 4:25 PM,,0,0
BINGPPC,154129,ANSWERING MACHINE,1/14/14 10:54 AM,,0,0
PROTECT AMERICA,154135,UNDER CONTRACT,1/11/14 11:39 AM,,0,0
PROTECT AMERICA,INBOUND VOICEMAIL,TRANSFER,1/10/14 5:08 PM,,0,0
GOOGLEPPC,154188,ANSWERING MACHINE,1/15/14 3:03 PM,,0,0
BINGPPC,INBOUND CALLBACK,UNDER CONTRACT,1/15/14 10:21 AM,APPROVED 0,0,0
BINGPPC,154211,NO ANSWER,1/14/14 10:55 AM,,0,0
PROTECT AMERICA,INBOUND,TRANSFER,1/10/14 11:12 AM,,0,0
GOOGLEPPC,154227,SOLD,1/10/14 11:37 AM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,HAS PA,1/10/14 1:31 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 12:35 PM,,0,0
GOOGLEPPC,154263,PNS,1/10/14 2:21 PM,,0,0
GOOGLEPPC,INBOUND CALLBACK,NOT INTERESTED,1/15/14 8:30 AM,,0,0
GOOGLEPPC,154274,UNDER CONTRACT,1/14/14 2:35 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 3:11 PM,,0,0
PROTECT AMERICA,INBOUND VOICEMAIL,,NULL,,0,0
GOOGLEPPC,INBOUND,SOLD,1/11/14 11:00 AM,APPROVED 0,51.99,0
PROTECT AMERICA,INBOUND,SOLD,1/11/14 2:35 PM,APPROVED 0,49.99,0
PROTECT AMERICA,154473,HAS PA,1/15/14 8:30 AM,,0,0
BINGPPC,INBOUND,SOLD,1/12/14 1:07 PM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,SOLD,1/12/14 1:57 PM,APPROVED 0,29.99,0
GOOGLEPPC,INBOUND,PNS,1/12/14 4:02 PM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/12/14 5:13 PM,,0,0
BINGPPC,154570,SOLD,1/13/14 8:59 AM,APPROVED 0,59.98,277
GOOGLEPPC,INBOUND,PNS,1/13/14 11:36 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/13/14 12:21 PM,,0,0
PROTECT AMERICA,INBOUND,TRANSFER,1/13/14 12:53 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/13/14 1:44 PM,APPROVED 0,54.99,0
PROTECT AMERICA,INBOUND,SOLD,1/13/14 1:11 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,SOLD,1/13/14 3:49 PM,APPROVED DCS,41.99,199
BINGPPC,INBOUND,PNS,1/13/14 3:14 PM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/13/14 3:39 PM,,0,0
GOOGLEPPC,154699,DNC,1/13/14 5:48 PM,,0,0
BINGPPC,154769,CALLBACK,1/14/14 8:33 AM,,0,0
GOOGLEPPC,154771,NOT INTERESTED,1/14/14 8:31 AM,,0,0
GOOGLEPPC,154778,SOLD,1/14/14 9:43 AM,APPROVED 0,44.99,0
GOOGLEPPC,154788,SOLD,1/14/14 3:36 PM,APPROVED 0,41.99,0
GOOGLEPPC,INBOUND,PNS,1/14/14 9:57 AM,,0,0
GOOGLEPPC,154798,NO TCPA,1/14/14 10:18 AM,,0,0
GOOGLE MAPS,INBOUND,CALLBACK,1/14/14 3:07 PM,,0,0
BINGPPC,154834,ANSWERING MACHINE,1/14/14 2:20 PM,,0,0
GOOGLEPPC,154840,KILL LEAD,1/14/14 2:08 PM,,0,0
GOOGLEPPC,154847,CALLBACK,1/14/14 1:28 PM,,0,0
PROTECT AMERICA,INBOUND,TRANSFER,1/14/14 4:46 PM,,0,0
GOOGLE CALL METRICS,INBOUND,UNDER CONTRACT,1/14/14 6:27 PM,,0,0
GOOGLE CALL METRICS,INBOUND,PNS,1/14/14 7:38 PM,,0,0
PROTECT AMERICA,INBOUND,DROPPED CALL,1/14/14 7:55 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/14/14 10:28 PM,APPROVED 0,64.99,0
GOOGLEPPC,154953,TRANSFER,1/15/14 8:14 AM,,0,0
BINGPPC,154972,BAD PHONE,1/15/14 10:05 AM,,0,0
BINGPPC,INBOUND,SOLD,1/15/14 12:46 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,SOLD,1/15/14 1:15 PM,APPROVED DCS,31.99,0
BINGPPC,INBOUND,PNS,1/15/14 1:05 PM,,0,0
GOOGLEPPC,155018,NO ANSWER,1/15/14 2:21 PM,,0,0
PROTECT AMERICA,MANUAL,DROPPED CALL,1/15/14 2:49 PM,,0,0
PROTECT AMERICA,INBOUND,TRANSFER,1/15/14 1:36 PM,,0,0
GOOGLEPPC,INBOUND,NOT SERVICABLE,1/15/14 2:42 PM,,0,0
BINGPPC,153345,KILL LEAD,11/19/13 12:07 PM,,0,0
BINGPPC,INBOUND,SOLD,12/2/13 7:55 AM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,SOLD,12/2/13 7:56 AM,APPROVED 0,44.99,0
BINGPPC,INBOUND,SOLD,12/2/13 11:34 AM,APPROVED DCS,0,0
PROTECT AMERICA,153762,CALLBACK,1/9/14 10:44 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/7/14 5:56 PM,APPROVED 0,54.98,277
GOOGLEPPC,153823,,NULL,,0,0
GOOGLEPPC,153827,NOT SERVICABLE,1/8/14 9:46 AM,,0,0
BINGPPC,153846,NOT SERVICABLE,1/8/14 10:12 AM,,0,0
GOOGLEPPC,153849,SOLD,1/8/14 11:27 AM,APPROVED 0,44.99,0
PROTECT AMERICA,INBOUND,PNS,1/8/14 11:58 AM,,0,0
GOOGLEPPC,153880,,NULL,,0,0
GOOGLEPPC,INBOUND,PNS,1/8/14 3:10 PM,,0,0
GOOGLEPPC,INBOUND,DROPPED CALL,1/8/14 3:16 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/8/14 5:02 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,KILL LEAD,1/8/14 5:30 PM,,0,0
PROTECT AMERICA,153971,PNS,1/13/14 5:58 PM,,0,0
BINGPPC,154001,DNC,1/9/14 10:53 AM,,0,0
GOOGLEPPC,INBOUND CALLBACK,ANSWERING MACHINE,1/15/14 2:20 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/9/14 10:08 AM,APPROVED DCS,41.99,238.5
PROTECT AMERICA,INBOUND CALLBACK,PNS,1/13/14 3:01 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/9/14 10:39 AM,,0,0
BINGPPC,INBOUND CALLBACK,PNS,1/9/14 1:08 PM,,0,0
GOOGLEPPC,154081,UNDER CONTRACT,1/12/14 2:50 PM,,0,0
GOOGLEPPC,INBOUND CALLBACK,DNC,1/14/14 3:05 PM,,0,0
GOOGLEPPC,INBOUND CALLBACK,PNS,1/9/14 4:38 PM,,0,0
PROTECT AMERICA,INBOUND CALLBACK,UNDER CONTRACT,1/13/14 12:04 PM,,0,0
GOOGLEPPC,154122,PNS,1/14/14 12:33 PM,,0,0
PROTECT AMERICA,154139,TRANSFER,1/9/14 7:22 PM,,0,0
GOOGLEPPC,154141,NOT INTERESTED,1/13/14 5:44 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/9/14 10:26 PM,,0,0
GOOGLEPPC,154202,CALLBACK,1/10/14 10:20 AM,,0,0
GOOGLEPPC,INBOUND,UNDER CONTRACT,1/10/14 12:27 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 10:11 AM,,0,0
BINGPPC,INBOUND,PNS,1/13/14 3:02 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 2:28 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/10/14 2:56 PM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,KILL LEAD,1/10/14 5:39 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/11/14 11:53 AM,APPROVED 0,51.99,0
GOOGLEPPC,INBOUND CALLBACK,DNC,1/14/14 5:18 PM,,0,0
BINGPPC,INBOUND,DNC,1/11/14 8:28 PM,APPROVED 0,31.99,0
