Source,Lead_Id,Disposition,DispositionDate,CreditResponse,MonitoringRate,AdditionalEquipment
GOOGLEPPC,152837,SOLD,01/02/2014 06:00:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,146923,SOLD,12/02/2013 05:06:00 PM,APPROVED 0,54.99,0
GOOGLEPPC,146976,SOLD,12/02/2013 11:09:00 AM,APPROVED 0,31.99,0
GOOGLEPPC,146981,SOLD,12/02/2013 11:13:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,146994,SOLD,12/02/2013 12:43:00 PM,APPROVED 0,47.98,0
PROTECT AMERICA,146996,SOLD,12/02/2013 12:29:00 PM,APPROVED 0,42.99,0
PROTECT AMERICA,147028,SOLD,12/07/2013 01:02:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,147043,SOLD,12/03/2013 04:23:00 PM,APPROVED 0,42.99,0
BINGPPC,147052,SOLD,12/02/2013 02:05:00 PM,APPROVED 0,31.99,0
PROTECT AMERICA,147055,SOLD,12/02/2013 02:31:00 PM,APPROVED 0,44.99,15
GOOGLEPPC,147073,SOLD,12/02/2013 03:14:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,147087,SOLD,12/02/2013 05:54:00 PM,APPROVED 0,56.99,199
GOOGLEPPC,147093,SOLD,12/02/2013 04:38:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,147094,SOLD,12/02/2013 04:11:00 PM,APPROVED 0,49.98,0
GOOGLEPPC,147130,SOLD,12/02/2013 05:49:00 PM,APPROVED 0,61.98,277
PROTECT AMERICA,147177,SOLD,12/09/2013 03:17:00 PM,APPROVED 0,41.99,0
PROTECT AMERICA,147241,SOLD,12/06/2013 02:49:00 PM,APPROVED 0,46.99,0
GOOGLEPPC,147252,SOLD,12/03/2013 09:00:00 AM,APPROVED 0,36.99,0
GOOGLEPPC,147266,SOLD,12/03/2013 08:36:00 AM,APPROVED 0,42.99,0
GOOGLEPPC,147292,SOLD,12/04/2013 09:32:00 AM,APPROVED 0,44.99,0
GOOGLEPPC,147297,SOLD,12/05/2013 09:53:00 AM,APPROVED 0,31.99,0
GOOGLEPPC,147309,SOLD,12/03/2013 10:34:00 AM,APPROVED 0,31.99,0
PROTECT AMERICA,147320,SOLD,12/03/2013 11:46:00 AM,APPROVED 0,49.98,0
BINGPPC,147326,SOLD,12/03/2013 11:59:00 AM,APPROVED 0,44.99,0
PROTECT AMERICA,147331,SOLD,12/03/2013 07:43:00 PM,APPROVED 0,41.99,0
BINGPPC,147344,SOLD,12/03/2013 01:44:00 PM,APPROVED 0,37.99,0
BINGPPC,147362,SOLD,12/03/2013 02:33:00 PM,APPROVED 0,54.99,0
GOOGLEPPC,147367,SOLD,12/03/2013 04:06:00 PM,APPROVED 0,54.99,0
GOOGLEPPC,147378,SOLD,12/05/2013 12:29:00 PM,APPROVED 0,49.99,0
BINGPPC,147381,SOLD,12/03/2013 04:34:00 PM,APPROVED 0,46.99,0
BINGPPC,147424,SOLD,12/04/2013 09:06:00 AM,APPROVED 0,54.99,0
GOOGLEPPC,147427,SOLD,12/10/2013 07:40:00 PM,APPROVED 0,52.98,0
GOOGLEPPC,147431,SOLD,12/03/2013 09:53:00 PM,APPROVED 0,36.99,0
GOOGLEPPC,147432,SOLD,12/03/2013 09:49:00 PM,APPROVED 0,36.99,0
GOOGLEPPC,147480,SOLD,12/06/2013 12:25:00 PM,APPROVED 0,0,0
GOOGLEPPC,147517,SOLD,12/05/2013 09:22:00 PM,APPROVED 0,56.98,0
BINGPPC,147530,SOLD,12/04/2013 12:20:00 PM,APPROVED 0,41.98,0
GOOGLEPPC,147585,SOLD,12/04/2013 05:07:00 PM,APPROVED 0,47.98,15
GOOGLEPPC,147600,SOLD,12/26/2013 08:07:00 PM,APPROVED 0,56.98,0
PROTECT AMERICA,147641,SOLD,12/14/2013 06:16:00 PM,APPROVED 0,42.99,0
GOOGLEPPC,147648,SOLD,12/09/2013 05:43:00 PM,APPROVED 0,41.99,0
PROTECT AMERICA,147662,SOLD,12/05/2013 05:58:00 PM,APPROVED 0,42.99,0
GOOGLEPPC,147713,SOLD,12/05/2013 10:10:00 AM,APPROVED 0,29.99,0
PROTECT AMERICA,147747,SOLD,12/05/2013 04:06:00 PM,APPROVED 0,41.98,0
GOOGLEPPC,147791,SOLD,12/05/2013 08:23:00 PM,APPROVED 0,44.99,267
GOOGLEPPC,147809,SOLD,12/05/2013 08:15:00 PM,APPROVED 0,61.98,0
GOOGLEPPC,147812,SOLD,12/06/2013 02:42:00 PM,APPROVED 0,31.99,0
BINGPPC,147825,SOLD,12/06/2013 03:38:00 PM,APPROVED 0,31.99,94
GOOGLEPPC,147863,SOLD,12/06/2013 10:25:00 AM,APPROVED 0,31.99,0
GOOGLEPPC,147889,SOLD,12/06/2013 05:52:00 PM,APPROVED 0,54.98,0
PROTECT AMERICA,147892,SOLD,12/07/2013 01:12:00 PM,APPROVED 0,46.99,297
BINGPPC,147899,SOLD,12/06/2013 11:48:00 AM,APPROVED 0,35.99,0
GOOGLEPPC,147901,SOLD,12/06/2013 11:45:00 AM,APPROVED 0,27.99,15
BINGPPC,147907,SOLD,12/06/2013 12:52:00 PM,APPROVED 0,46.99,0
GOOGLEPPC,147928,SOLD,12/06/2013 01:35:00 PM,APPROVED 0,49.98,0
GOOGLEPPC,147929,SOLD,12/06/2013 03:12:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,147983,SOLD,12/06/2013 07:06:00 PM,APPROVED 0,36.99,0
PROTECT AMERICA,147998,SOLD,12/06/2013 08:45:00 PM,APPROVED 0,59.98,0
GOOGLEPPC,148047,SOLD,12/07/2013 10:32:00 AM,APPROVED 0,42.99,0
BINGPPC,148071,SOLD,12/07/2013 12:46:00 PM,APPROVED 0,47.98,0
BINGPPC,148081,SOLD,12/23/2013 10:43:00 AM,APPROVED 0,31.99,0
BINGPPC,148098,SOLD,12/09/2013 10:37:00 AM,APPROVED 0,37.99,0
GOOGLEPPC,148122,SOLD,12/07/2013 06:33:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,148217,SOLD,12/09/2013 09:12:00 AM,APPROVED 0,51.99,0
PROTECT AMERICA,148247,SOLD,12/09/2013 09:26:00 AM,APPROVED 0,42.99,15
PROTECT AMERICA,148261,SOLD,12/09/2013 12:39:00 PM,APPROVED 0,47.98,0
GOOGLEPPC,148316,SOLD,12/11/2013 03:38:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,148321,SOLD,12/15/2013 10:58:00 AM,APPROVED 0,0,0
BINGPPC,148343,SOLD,12/09/2013 11:30:00 AM,APPROVED 0,37.99,0
GOOGLEPPC,148385,SOLD,12/09/2013 02:20:00 PM,APPROVED 0,46.99,0
BINGPPC,148406,SOLD,12/09/2013 03:15:00 PM,APPROVED 0,41.99,0
BINGPPC,148415,SOLD,12/09/2013 03:50:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,148417,SOLD,12/09/2013 04:19:00 PM,APPROVED 0,33.99,99
GOOGLEPPC,148424,SOLD,12/09/2013 08:00:00 PM,APPROVED 0,52.98,0
PROTECT AMERICA,148431,SOLD,12/11/2013 06:12:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,148472,SOLD,12/10/2013 08:52:00 AM,APPROVED 0,44.99,0
GOOGLEPPC,148490,SOLD,12/09/2013 10:34:00 PM,APPROVED 0,37.99,0
GOOGLEPPC,148493,SOLD,12/15/2013 11:00:00 AM,APPROVED 0,0,0
