Parameters:EntityType=OFFLINECONVERSION;TimeZone=-0500;,,,,
Action,Google Click Id,Conversion Name,Conversion Value,Conversion Time
add,CODd2dfQprsCFclaMgodgWgAKA,Lead Sold,1799.64,12/10/13 16:30
add,CNbflu3GpbsCFQrxOgodDSMARw,Lead Sold,1547.64,12/10/13 9:05
add,CN7c7L6twrsCFW0V7Aodb2YAYQ,Lead Sold,2339.28,12/21/13 17:01
add,CKv0rOyLxbsCFUgS7AodKnIATQ,Lead Sold,1619.64,12/22/13 19:22
add,CIKPtNLjxLsCFcN_QgodG04APQ,Lead Sold,2339.64,12/29/13 19:27
add,CK_EsPe70bsCFaHm7AodQ2IADg,Lead Sold,1007.64,12/27/13 17:12
add,CJez5du82LsCFe3m7AodjBkAEw,Lead Sold,1511.64,12/30/13 12:04
add,CJ2z9e723bsCFU9afgodpFoA9Q,Lead Sold,1259.64,1/1/14 16:19
add,CM30zK6x6bsCFaHm7AodQ2IADg,Lead Sold,2519.28,1/6/14 14:30
add,CJXCxbjn0LsCFcFj7AodVh8A1w,Lead Sold,1691.64,12/27/13 11:22
add,CMKd7IGn07sCFSUOOgodVBEAOw,Lead Sold,1151.64,1/3/14 19:00
add,CO6r1KLj4LsCFUMV7AodviQAhA,Lead Sold,1190.64,1/2/14 19:28
add,CLu0hJXX4bsCFUQ6Qgodj1wAfQ,Lead Sold,2538.64,1/3/14 11:17
add,CKWX5Pz_57sCFeHm7AoduC0Auw,Lead Sold,1799.28,1/5/14 16:42
add,COibuLjwx7sCFYZi7AodtXIAOQ,Lead Sold,1619.64,12/24/13 11:21
add,CLCe4MK32LsCFfPm7Aod_0UAUw,Lead Sold,1367.64,12/30/13 12:47
add,CPHo5LC7kLsCFa9lOgoddDwATg,Lead Sold,1151.64,12/3/13 10:34
add,CKycmObvuLsCFSISMwodEBkAdA,Lead Sold,1151.64,12/18/13 11:37
add,CNOT8f6urbsCFbFxOgodr3QANw,Lead Sold,1799.64,12/13/13 15:29
add,CIv-i9mL3rsCFc6TfgodLRwA2g,Lead Sold,1799.64,1/1/14 18:12
add,CKbRp8Ly1bsCFa4-Mgod7W0AOA,Lead Sold,1799.64,12/29/13 14:48
add,CLSyuI6nrbsCFcFj7AodMV0AKQ,Lead Sold,1727.28,12/13/13 8:49
add,CPzChIzCvbsCFdE-MgodfFYA2Q,Lead Sold,1979.28,12/19/13 18:50
add,CLX9yICEvbsCFY2DQgoddhcAig,Lead Sold,1907.28,12/19/13 14:41
add,CMaTx-bZ4rsCFUgS7AodKnIATQ,Lead Sold,1151.64,1/3/14 14:02
add,CODI0d364rsCFZZsfgodvQsAog,Lead Sold,1871.64,1/3/14 16:17
add,CJ6jvZGc37sCFYJqfgodyT0AXA,Lead Sold,2159.64,1/2/14 10:43
add,CK7U3oGN6rsCFWQOOgodW30AnQ,Lead Sold,1871.64,1/6/14 12:43
add,CNqPm7rSzrsCFfPm7Aod_0UAUw,Lead Sold,1511.64,12/26/13 14:10
add,CKX1r-3e2rsCFTJo7AodOkMApQ,Lead Sold,1619.64,12/31/13 10:00
add,CILpmLaLmLsCFYtQOgodIhsAOw,Lead Sold,1511.64,12/9/13 17:42
add,CJmIoqHiv7sCFSdp7Aod4h4A1w,Lead Sold,1223.64,12/20/13 17:38
add,CMyKv4XZtLsCFTJp7AodJkQAnQ,Lead Sold,1511.64,12/16/13 9:35
add,CKGLxL6zvLsCFUgS7AodKnIATQ,Lead Sold,2159.64,12/19/13 12:29
add,CITMoJ-W2bsCFShk7Aod208AQw,Lead Sold,1079.64,12/30/13 19:06
add,CPTY6ZKfk7sCFc07OgoduhAA8A,Lead Sold,1331.64,12/3/13 8:59
add,CLeN6ff8m7sCFdFafgodvWAAkQ,Lead Sold,1979.28,12/6/13 17:51
add,CM7L0IGmnrsCFSvl7Aodmy8AzQ,Lead Sold,1547.64,12/7/13 10:31
add,CO3fg_uyq7sCFU5o7AodlE0AEw,Lead Sold,1799.64,12/17/13 11:17
add,CMCZ7cLOxrsCFct9OgodaVIARQ,Lead Sold,1619.64,12/23/13 10:11
add,CLiB167657sCFWQOOgodW30AnQ,Lead Sold,2117.28,1/5/14 16:32
add,CKbkvtOL5bsCFeU5Qgod3SQAbA,Lead Sold,1547.64,1/4/14 18:37
