Parameters:EntityType=OFFLINECONVERSION;TimeZone=-0500;,,,,
Action,Google Click Id,Conversion Name,Conversion Value,Conversion Time
add,CP30lNLS_bsCFSvl7AodXVcADg,Lead Sold,1619.64,01/14/14
add,CNKczK3Q8bsCFcZZ7AodiXoAUg,Lead Sold,1979.64,1/10/14 18:59
add,CJ_wzpC-77sCFYEl4godezwAuQ,Lead Sold,2159.28,1/10/14 8:57
add,COGxz-n87LsCFahj7AodDioADw,Lead Sold,1331.64,1/11/14 12:54
add,CKeK94bk7rsCFTEV7Aod5WIAdA,Lead Sold,1691.64,1/8/14 10:11
add,CIyd1ty08bsCFSEV7AodHwMACg,Lead Sold,1871.28,1/9/14 10:38
add,CO_2wJbK9rsCFUgS7AodBkIAaw,Lead Sold,1322.64,1/11/14 16:15
add,CPHo5LC7kLsCFa9lOgoddDwATg,Lead Sold,1151.64,12/3/13 10:34
add,CLHzoKL6-LsCFShk7Aody0cAkg,Lead Sold,1619.64,1/14/14 13:45
add,CL3F5-WY-7sCFeHm7AodKikAEA,Lead Sold,1230.64,1/13/14 9:15
add,CKf_6Z-Z-7sCFWRk7AodAVUAiA,Lead Sold,1619.64,1/13/14 11:16
add,CJOR1OeC9LsCFcTm7AodkkkA9A,Lead Sold,1511.64,1/10/14 11:01
add,CMj99Zzo_LsCFQeVfgodoBEAAA,Lead Sold,1691.28,1/14/14 12:47
add,COWD8PyP77sCFUsV7AodmX8AFw,Lead Sold,1691.64,1/8/14 12:15
add,CKjkpY2z-7sCFcQDOgod9zcAzQ,Lead Sold,1691.64,1/13/14 13:05
add,CMyKv4XZtLsCFTJp7AodJkQAnQ,Lead Sold,1511.64,12/16/13 9:35
add,CKGLxL6zvLsCFUgS7AodKnIATQ,Lead Sold,2159.64,12/19/13 12:29
add,CPTY6ZKfk7sCFc07OgoduhAA8A,Lead Sold,1331.64,12/3/13 8:59
add,CKX1r-3e2rsCFTJo7AodOkMApQ,Lead Sold,1619.64,12/31/13 10:00
add,CNbflu3GpbsCFQrxOgodDSMARw,Lead Sold,1547.64,12/10/13 9:05
add,CODd2dfQprsCFclaMgodgWgAKA,Lead Sold,1799.64,12/10/13 16:30
add,CLX9yICEvbsCFY2DQgoddhcAig,Lead Sold,1907.28,12/19/13 14:41
add,CMqdmMKkx7sCFSEV7AodH2cAvA,Lead Sold,1691.64,1/14/14 9:55
add,CLSyuI6nrbsCFcFj7AodMV0AKQ,Lead Sold,1727.28,12/13/13 8:49
add,CITMoJ-W2bsCFShk7Aod208AQw,Lead Sold,1079.64,12/30/13 19:06
add,CJXCxbjn0LsCFcFj7AodVh8A1w,Lead Sold,1691.64,12/27/13 11:22
add,CMKd7IGn07sCFSUOOgodVBEAOw,Lead Sold,1151.64,1/3/14 19:00
add,CIKPtNLjxLsCFcN_QgodG04APQ,Lead Sold,2339.64,12/29/13 19:27
add,CK_EsPe70bsCFaHm7AodQ2IADg,Lead Sold,1007.64,12/27/13 17:12
add,COKjqv7M8bsCFTJp7AodJFcAtw,Lead Sold,1583.64,1/9/14 14:41
add,CM7j6pmr8rsCFQbl7AodAWYAPQ,Lead Sold,719.64,1/9/14 19:36
add,CJ6jvZGc37sCFYJqfgodyT0AXA,Lead Sold,2159.64,1/2/14 10:43
add,CN7c7L6twrsCFW0V7Aodb2YAYQ,Lead Sold,2339.28,12/21/13 17:01
add,COibuLjwx7sCFYZi7AodtXIAOQ,Lead Sold,1619.64,12/24/13 11:21
add,CLeN6ff8m7sCFdFafgodvWAAkQ,Lead Sold,1979.28,12/6/13 17:51
